name,official,currency_name,currency_symbol,languages,capital,population
Ivory Coast,Republic of Côte d'Ivoire,West African CFA franc,Fr,French,Yamoussoukro,31719275
Italy,Italian Republic,euro,€,"Italian, Catalan",Rome,58927633
Kyrgyzstan,Kyrgyz Republic,Kyrgyzstani som,с,"Kyrgyz, Russian",Bishkek,7281800
Papua New Guinea,Independent State of Papua New Guinea,Papua New Guinean kina,K,"English, Hiri Motu, Tok Pisin",Port Moresby,11781559
Fiji,Republic of Fiji,Fijian dollar,$,"English, Fijian, Fiji Hindi",Suva,900869
United Arab Emirates,United Arab Emirates,United Arab Emirates dirham,د.إ,Arabic,Abu Dhabi,11294243
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,Eastern Caribbean dollar,$,English,Basseterre,51320
French Guiana,Guiana,euro,€,French,Cayenne,292354
Tanzania,United Republic of Tanzania,Tanzanian shilling,Sh,"English, Swahili",Dodoma,68153004
Angola,Republic of Angola,Angolan kwanza,Kz,Portuguese,Luanda,36170961
Togo,Togolese Republic,West African CFA franc,Fr,French,Lomé,8095498
Finland,Republic of Finland,euro,€,"Finnish, Swedish",Helsinki,5650325
Malawi,Republic of Malawi,Malawian kwacha,MK,"English, Chewa",Lilongwe,20734262
Mali,Republic of Mali,West African CFA franc,Fr,French,Bamako,22395489
Uzbekistan,Republic of Uzbekistan,Uzbekistani soʻm,so'm,"Russian, Uzbek",Tashkent,37859698
Senegal,Republic of Senegal,West African CFA franc,Fr,French,Dakar,18593258
Uganda,Republic of Uganda,Ugandan shilling,Sh,"English, Swahili",Kampala,45905417
Djibouti,Republic of Djibouti,Djiboutian franc,Fr,"Arabic, French",Djibouti,1066809
South Sudan,Republic of South Sudan,South Sudanese pound,£,English,Juba,15786898
Jersey,Bailiwick of Jersey,British pound,£,"English, French, Jèrriais",Saint Helier,103267
Tuvalu,Tuvalu,Australian dollar,$,"English, Tuvaluan",Funafuti,10643
Japan,Japan,Japanese yen,¥,Japanese,Tokyo,123210000
Oman,Sultanate of Oman,Omani rial,ر.ع.,Arabic,Muscat,5343630
Belgium,Kingdom of Belgium,euro,€,"German, French, Dutch",Brussels,11825551
Saint Martin,Saint Martin,euro,€,French,Marigot,31496
Mayotte,Department of Mayotte,euro,€,French,Mamoudzou,320901
France,French Republic,euro,€,French,Paris,66351959
Bulgaria,Republic of Bulgaria,Bulgarian lev,лв,Bulgarian,Sofia,6437360
Cyprus,Republic of Cyprus,euro,€,"Greek, Turkish",Nicosia,1442614
South Korea,Republic of Korea,South Korean won,₩,Korean,Seoul,51159889
Mexico,United Mexican States,Mexican peso,$,Spanish,Mexico City,130575786
North Macedonia,Republic of North Macedonia,denar,den,Macedonian,Skopje,1822612
Guyana,Co-operative Republic of Guyana,Guyanese dollar,$,English,Georgetown,772975
Kosovo,Republic of Kosovo,euro,€,"Albanian, Serbian",Pristina,1585566
Morocco,Kingdom of Morocco,Moroccan dirham,د.م.,"Arabic, Berber",Rabat,36828330
Gibraltar,Gibraltar,Gibraltar pound,£,English,Gibraltar,38000
Western Sahara,Sahrawi Arab Democratic Republic,Algerian dinar,دج,"Berber, Hassaniya, Spanish",El Aaiún,600904
Andorra,Principality of Andorra,euro,€,Catalan,Andorra la Vella,88406
Palau,Republic of Palau,United States dollar,$,"English, Palauan",Ngerulmud,16733
Guinea,Republic of Guinea,Guinean franc,Fr,French,Conakry,14363931
